Event,Athlete,Country,Finish Place,World Ranking,World Ranking Rank,Event type,Medal,No World Rank
100m Men,Noah LYLES,USA,1,1.0,1,Sprints,True,False
100m Men,Kishane THOMPSON,JAM,2,6.0,4,Sprints,True,False
100m Men,Fred KERLEY,USA,3,13.0,7,Sprints,True,False
100m Men,Akani SIMBINE,RSA,4,7.0,5,Sprints,False,False
100m Men,Lamont Marcell JACOBS,ITA,5,12.0,6,Sprints,False,False
100m Men,Letsile TEBOGO,BOT,6,3.0,2,Sprints,False,False
100m Men,Kenneth BEDNAREK,USA,7,22.0,8,Sprints,False,False
100m Men,Oblique SEVILLE,JAM,8,5.0,3,Sprints,False,False
100m Women,Julien ALFRED,LCA,1,3.0,2,Sprints,True,False
100m Women,Sha'Carri RICHARDSON,USA,2,1.0,1,Sprints,True,False
100m Women,Melissa JEFFERSON,USA,3,20.0,7,Sprints,True,False
100m Women,Daryll NEITA,GBR,4,15.0,4,Sprints,False,False
100m Women,Twanisha TERRY,USA,5,17.0,5,Sprints,False,False
100m Women,Mujinga KAMBUNDJI,SUI,6,19.0,6,Sprints,False,False
100m Women,Tia CLAYTON,JAM,7,29.0,8,Sprints,False,False
100m Women,Marie-Josée TA LOU-SMITH,CIV,8,4.0,3,Sprints,False,False
200m Men,Letsile TEBOGO,BOT,1,4.0,4,Sprints,True,False
200m Men,Kenneth BEDNAREK,USA,2,2.0,2,Sprints,True,False
200m Men,Noah LYLES,USA,3,1.0,1,Sprints,True,False
200m Men,Erriyon KNIGHTON,USA,4,3.0,3,Sprints,False,False
200m Men,Alexander OGANDO,DOM,5,7.0,5,Sprints,False,False
200m Men,Tapiwanashe MAKARAWU,ZIM,6,24.0,7,Sprints,False,False
200m Men,Joseph FAHNBULLEH,LBR,7,11.0,6,Sprints,False,False
200m Men,Makanakaishe CHARAMBA,ZIM,8,30.0,8,Sprints,False,False
200m Women,Gabrielle THOMAS,USA,1,2.0,1,Sprints,True,False
200m Women,Julien ALFRED,LCA,2,4.0,3,Sprints,True,False
200m Women,Brittany BROWN,USA,3,9.0,5,Sprints,True,False
200m Women,Dina ASHER-SMITH,GBR,4,7.0,4,Sprints,False,False
200m Women,Daryll NEITA,GBR,5,3.0,2,Sprints,False,False
200m Women,Favour OFILI,NGR,6,31.0,8,Sprints,False,False
200m Women,Mckenzie LONG,USA,7,11.0,6,Sprints,False,False
200m Women,Jessika GBAI,CIV,8,15.0,7,Sprints,False,False
400m Men,Quincy HALL,USA,1,1.0,1,Sprints,True,False
400m Men,Matthew HUDSON-SMITH,GBR,2,2.0,2,Sprints,True,False
400m Men,Muzala SAMUKONGA,ZAM,3,33.0,7,Sprints,True,False
400m Men,Jereem RICHARDS,TTO,4,17.0,4,Sprints,False,False
400m Men,Kirani JAMES,GRN,5,4.0,3,Sprints,False,False
400m Men,Christopher BAILEY,USA,6,21.0,5,Sprints,False,False
400m Men,Samuel OGAZI,NGR,7,23.0,6,Sprints,False,False
400m Men,Michael NORMAN,USA,8,36.0,8,Sprints,False,False
400m Women,Marileidy PAULINO,DOM,1,1.0,1,Sprints,True,False
400m Women,Salwa Eid NASER,BRN,2,13.0,6,Sprints,True,False
400m Women,Natalia KACZMAREK,POL,3,2.0,2,Sprints,True,False
400m Women,Rhasidat ADELEKE,IRL,4,3.0,3,Sprints,False,False
400m Women,Amber ANNING,GBR,5,16.0,7,Sprints,False,False
400m Women,Alexis HOLMES,USA,6,7.0,5,Sprints,False,False
400m Women,Sada WILLIAMS,BAR,7,5.0,4,Sprints,False,False
400m Women,Henriette JÆGER,NOR,8,18.0,8,Sprints,False,False
800m Men,Emmanuel WANYONYI,KEN,1,1.0,1,Middle Distance,True,False
800m Men,Marco AROP,CAN,2,2.0,2,Middle Distance,True,False
800m Men,Djamel SEDJATI,ALG,3,3.0,3,Middle Distance,True,False
800m Men,Bryce HOPPEL,USA,4,4.0,4,Middle Distance,False,False
800m Men,Mohamed ATTAOUI,ESP,5,13.0,7,Middle Distance,False,False
800m Men,Gabriel TUAL,FRA,6,7.0,5,Middle Distance,False,False
800m Men,Tshepiso MASALELA,BOT,7,8.0,6,Middle Distance,False,False
800m Men,Max BURGIN,GBR,8,,8,Middle Distance,False,True
800m Women,Keely HODGKINSON,GBR,1,1.0,1,Middle Distance,True,False
800m Women,Tsige DUGUMA,ETH,2,9.0,3,Middle Distance,True,False
800m Women,Mary MORAA,KEN,3,2.0,2,Middle Distance,True,False
800m Women,Shafiqua MALONEY,VIN,4,27.0,7,Middle Distance,False,False
800m Women,Rénelle LAMOTE,FRA,5,16.0,5,Middle Distance,False,False
800m Women,Worknesh MESELE,ETH,6,21.0,6,Middle Distance,False,False
800m Women,Juliette WHITTAKER,USA,7,45.0,8,Middle Distance,False,False
800m Women,Prudence SEKGODISO,RSA,8,11.0,4,Middle Distance,False,False
1500m Men,Cole HOCKER,USA,1,8.0,5,Middle Distance,True,False
1500m Men,Josh KERR,GBR,2,3.0,3,Middle Distance,True,False
1500m Men,Yared NUGUSE,USA,3,2.0,2,Middle Distance,True,False
1500m Men,Jakob INGEBRIGTSEN,NOR,4,1.0,1,Middle Distance,False,False
1500m Men,Hobbs KESSLER,USA,5,12.0,7,Middle Distance,False,False
1500m Men,Niels LAROS,NED,6,13.0,8,Middle Distance,False,False
1500m Men,Narve Gilje NORDÅS,NOR,7,4.0,4,Middle Distance,False,False
1500m Men,Pietro ARESE,ITA,8,26.0,11,Middle Distance,False,False
1500m Men,Stefan NILLESSEN,NED,9,48.0,12,Middle Distance,False,False
1500m Men,Neil GOURLEY,GBR,10,16.0,9,Middle Distance,False,False
1500m Men,Timothy CHERUIYOT,KEN,11,18.0,10,Middle Distance,False,False
1500m Men,Brian KOMEN,KEN,12,10.0,6,Middle Distance,False,False
1500m Women,Faith KIPYEGON,KEN,1,1.0,1,Middle Distance,True,False
1500m Women,Jessica HULL,AUS,2,3.0,3,Middle Distance,True,False
1500m Women,Georgia BELL,GBR,3,13.0,5,Middle Distance,True,False
1500m Women,Diribe WELTEJI,ETH,4,2.0,2,Middle Distance,False,False
1500m Women,Laura MUIR,GBR,5,4.0,4,Middle Distance,False,False
1500m Women,Susan Lokayo EJORE,KEN,6,20.0,7,Middle Distance,False,False
1500m Women,Nikki HILTZ,USA,7,19.0,6,Middle Distance,False,False
1500m Women,Elle ST. PIERRE,USA,8,26.0,9,Middle Distance,False,False
1500m Women,Agathe GUILLEMOT,FRA,9,23.0,8,Middle Distance,False,False
1500m Women,Klaudia KAZIMIERSKA,POL,10,48.0,10,Middle Distance,False,False
1500m Women,Águeda MARQUÉS,ESP,11,52.0,11,Middle Distance,False,False
1500m Women,Gudaf TSEGAY,ETH,12,,12,Middle Distance,False,True
5000m Men,Jakob INGEBRIGTSEN,NOR,1,2.0,1,Distance,True,False
5000m Men,Ronald KWEMOI,KEN,2,45.0,17,Distance,True,False
5000m Men,Grant FISHER,USA,3,5.0,3,Distance,True,False
5000m Men,Dominic Lokinyomo LOBALU,EOR,4,7.0,4,Distance,False,False
5000m Men,Hagos GEBRHIWET,ETH,5,3.0,2,Distance,False,False
5000m Men,Biniam MEHARY,ETH,6,9.0,5,Distance,False,False
5000m Men,Edwin KURGAT,KEN,7,,20,Distance,False,True
5000m Men,Isaac KIMELI,BEL,8,37.0,14,Distance,False,False
5000m Men,Graham BLANKS,USA,9,61.0,19,Distance,False,False
5000m Men,Jacob KROP,KEN,10,12.0,6,Distance,False,False
5000m Men,John HEYMANS,BEL,11,52.0,18,Distance,False,False
5000m Men,Yann SCHRUB,FRA,12,35.0,13,Distance,False,False
5000m Men,Mike FOPPEN,NED,13,41.0,16,Distance,False,False
5000m Men,Addisu YIHUNE,ETH,14,14.0,7,Distance,False,False
5000m Men,Thierry NDIKUMWENAYO,ESP,15,18.0,8,Distance,False,False
5000m Men,Hugo HAY,FRA,16,,20,Distance,False,True
5000m Men,Narve Gilje NORDÅS,NOR,17,20.0,10,Distance,False,False
5000m Men,Stewart MCSWEYN,AUS,18,19.0,9,Distance,False,False
5000m Men,Dawit SEARE,ERI,19,40.0,15,Distance,False,False
5000m Men,Oscar CHELIMO,UGA,20,33.0,11,Distance,False,False
5000m Men,George MILLS,GBR,21,,20,Distance,False,True
5000m Men,Thomas FAFARD,CAN,22,34.0,12,Distance,False,False
5000m Women,Beatrice CHEBET,KEN,1,1.0,1,Distance,True,False
5000m Women,Faith KIPYEGON,KEN,2,12.0,6,Distance,True,False
5000m Women,Sifan HASSAN,NED,3,7.0,5,Distance,True,False
5000m Women,Nadia BATTOCLETTI,ITA,4,13.0,7,Distance,False,False
5000m Women,Margaret Chelimo KIPKEMBOI,KEN,5,22.0,9,Distance,False,False
5000m Women,Ejgayehu TAYE,ETH,6,3.0,3,Distance,False,False
5000m Women,Medina EISA,ETH,7,4.0,4,Distance,False,False
5000m Women,Karoline Bjerkeli GRØVDAL,NOR,8,17.0,8,Distance,False,False
5000m Women,Gudaf TSEGAY,ETH,9,2.0,2,Distance,False,False
5000m Women,Karissa SCHWEIZER,USA,10,38.0,14,Distance,False,False
5000m Women,Elise CRANNY,USA,11,31.0,12,Distance,False,False
5000m Women,Rose DAVIES,AUS,12,29.0,10,Distance,False,False
5000m Women,Nathalie BLOMQVIST,FIN,13,30.0,11,Distance,False,False
5000m Women,Whittni MORGAN,USA,14,66.0,16,Distance,False,False
5000m Women,Joselyn Daniely BREA,VEN,15,52.0,15,Distance,False,False
5000m Women,Francine NIYOMUKUNZI,BDI,16,37.0,13,Distance,False,False
10000m Men,Joshua CHEPTEGEI,UGA,1,2.0,1,Distance,True,False
10000m Men,Berihu AREGAWI,ETH,2,4.0,3,Distance,True,False
10000m Men,Grant FISHER,USA,3,11.0,10,Distance,True,False
10000m Men,Mohammed AHMED,CAN,4,5.0,4,Distance,False,False
10000m Men,Benard KIBET,KEN,5,6.0,5,Distance,False,False
10000m Men,Yomif KEJELCHA,ETH,6,7.0,6,Distance,False,False
10000m Men,Selemon BAREGA,ETH,7,3.0,2,Distance,False,False
10000m Men,Jacob KIPLIMO,UGA,8,,22,Distance,False,True
10000m Men,Thierry NDIKUMWENAYO,ESP,9,38.0,18,Distance,False,False
10000m Men,Adriaan WILDSCHUTT,RSA,10,10.0,9,Distance,False,False
10000m Men,Daniel MATEIKO,KEN,11,,22,Distance,False,True
10000m Men,Nico YOUNG,USA,12,17.0,13,Distance,False,False
10000m Men,Jimmy GRESSIER,FRA,13,20.0,14,Distance,False,False
10000m Men,Nicholas KIPKORIR,KEN,14,9.0,8,Distance,False,False
10000m Men,Merhawi MEBRAHTU,ERI,15,50.0,19,Distance,False,False
10000m Men,William KINCAID,USA,16,8.0,7,Distance,False,False
10000m Men,Birhanu BALEW,BRN,17,33.0,17,Distance,False,False
10000m Men,Jamal Abdelmaji EISA MOHAMMED,EOR,18,,22,Distance,False,True
10000m Men,Isaac KIMELI,BEL,19,56.0,20,Distance,False,False
10000m Men,Jun KASAI,JPN,20,23.0,15,Distance,False,False
10000m Men,Yves NIMUBONA,RWA,21,,22,Distance,False,True
10000m Men,Martin Magengo KIPROTICH,UGA,22,,22,Distance,False,True
10000m Men,Abdessamad OUKHELFEN,ESP,23,73.0,21,Distance,False,False
10000m Men,Tomoki OTA,JPN,24,13.0,12,Distance,False,False
10000m Men,Yann SCHRUB,FRA,,31.0,16,Distance,False,False
10000m Men,Rodrigue KWIZERA,BDI,,12.0,11,Distance,False,False
10000m Men,Célestin NDIKUMANA,BDI,,,22,Distance,False,True
10000m Women,Beatrice CHEBET,KEN,1,,22,Distance,True,True
10000m Women,Nadia BATTOCLETTI,ITA,2,14.0,5,Distance,True,False
10000m Women,Sifan HASSAN,NED,3,9.0,3,Distance,True,False
10000m Women,Margaret Chelimo KIPKEMBOI,KEN,4,22.0,11,Distance,False,False
10000m Women,Lilian Kasait RENGERUK,KEN,5,11.0,4,Distance,False,False
10000m Women,Gudaf TSEGAY,ETH,6,1.0,1,Distance,False,False
10000m Women,Fotyen TESFAY,ETH,7,16.0,7,Distance,False,False
10000m Women,Weini KELATI FREZGHI,USA,8,18.0,9,Distance,False,False
10000m Women,Karissa SCHWEIZER,USA,9,37.0,17,Distance,False,False
10000m Women,Tsigie GEBRESELAMA,ETH,10,5.0,2,Distance,False,False
10000m Women,Parker VALBY,USA,11,35.0,16,Distance,False,False
10000m Women,Sarah CHELANGAT,UGA,12,25.0,13,Distance,False,False
10000m Women,Lauren RYAN,AUS,13,39.0,19,Distance,False,False
10000m Women,Francine NIYOMUKUNZI,BDI,14,38.0,18,Distance,False,False
10000m Women,Eilish MCCOLGAN,GBR,15,28.0,14,Distance,False,False
10000m Women,Diane VAN ES,NED,16,15.0,6,Distance,False,False
10000m Women,Daisy JEPKEMEI,KAZ,17,62.0,21,Distance,False,False
10000m Women,Rino GOSHIMA,JPN,18,21.0,10,Distance,False,False
10000m Women,Haruka KOKAI,JPN,19,24.0,12,Distance,False,False
10000m Women,Klara LUKAN,SLO,20,29.0,15,Distance,False,False
10000m Women,Annet Chemengich CHELANGAT,UGA,21,,22,Distance,False,True
10000m Women,Yuka TAKASHIMA,JPN,22,51.0,20,Distance,False,False
10000m Women,Megan KEITH,GBR,23,17.0,8,Distance,False,False
10000m Women,Rahel DANIEL,ERI,,,22,Distance,False,True
10000m Women,Alessia ZARBO,FRA,,,22,Distance,False,True
3000m Steeplechase Men,Soufiane EL BAKKALI,MAR,1,1.0,1,Distance,True,False
3000m Steeplechase Men,Kenneth ROOKS,USA,2,24.0,15,Distance,True,False
3000m Steeplechase Men,Abraham KIBIWOT,KEN,3,3.0,3,Distance,True,False
3000m Steeplechase Men,Mohamed Amin JHINAOUI,TUN,4,11.0,9,Distance,False,False
3000m Steeplechase Men,Ahmed JAZIRI,TUN,5,56.0,16,Distance,False,False
3000m Steeplechase Men,Samuel FIREWU,ETH,6,4.0,4,Distance,False,False
3000m Steeplechase Men,Simon Kiprop KOECH,KEN,7,8.0,7,Distance,False,False
3000m Steeplechase Men,Ryuji MIURA,JPN,8,9.0,8,Distance,False,False
3000m Steeplechase Men,Getnet WALE,ETH,9,7.0,6,Distance,False,False
3000m Steeplechase Men,Daniel ARCE,ESP,10,14.0,11,Distance,False,False
3000m Steeplechase Men,Avinash Mukund SABLE,IND,11,15.0,12,Distance,False,False
3000m Steeplechase Men,Mohamed TINDOUFT,MAR,12,21.0,14,Distance,False,False
3000m Steeplechase Men,Jean-Simon DESGAGNÉS,CAN,13,13.0,10,Distance,False,False
3000m Steeplechase Men,Amos SEREM,KEN,14,5.0,5,Distance,False,False
3000m Steeplechase Men,Leonard CHEMUTAI,UGA,15,20.0,13,Distance,False,False
3000m Steeplechase Men,Lamecha GIRMA,ETH,,2.0,2,Distance,False,False
3000m Steeplechase Women,Winfred Mutile YAVI,BRN,1,,14,Distance,True,True
3000m Steeplechase Women,Peruth CHEMUTAI,UGA,2,4.0,3,Distance,True,False
3000m Steeplechase Women,Faith CHEROTICH,KEN,3,3.0,2,Distance,True,False
3000m Steeplechase Women,Alice FINOT,FRA,4,5.0,4,Distance,False,False
3000m Steeplechase Women,Sembo ALMAYEW,ETH,5,9.0,5,Distance,False,False
3000m Steeplechase Women,Beatrice CHEPKOECH,KEN,6,2.0,1,Distance,False,False
3000m Steeplechase Women,Elizabeth BIRD,GBR,7,11.0,6,Distance,False,False
3000m Steeplechase Women,Lomi MULETA,ETH,8,13.0,7,Distance,False,False
3000m Steeplechase Women,Norah JERUTO,KAZ,9,,14,Distance,False,True
3000m Steeplechase Women,Lea MEYER,GER,10,22.0,12,Distance,False,False
3000m Steeplechase Women,Irene SÁNCHEZ-ESCRIBANO,ESP,11,31.0,13,Distance,False,False
3000m Steeplechase Women,Courtney WAYMENT,USA,12,14.0,8,Distance,False,False
3000m Steeplechase Women,Alicja KONIECZEK,POL,13,19.0,11,Distance,False,False
3000m Steeplechase Women,Gesa Felicitas KRAUSE,GER,14,15.0,9,Distance,False,False
3000m Steeplechase Women,Valerie CONSTIEN,USA,15,17.0,10,Distance,False,False
Marathon Men,Tamirat TOLA,ETH,1,5.0,3,Distance,True,False
Marathon Men,Bashir ABDI,BEL,2,12.0,6,Distance,True,False
Marathon Men,Benson KIPRUTO,KEN,3,1.0,1,Distance,True,False
Marathon Men,Emile CAIRESS,GBR,4,39.0,15,Distance,False,False
Marathon Men,Deresa GELETA,ETH,5,35.0,12,Distance,False,False
Marathon Men,Akira AKASAKI,JPN,6,,32,Distance,False,True
Marathon Men,Tebello RAMAKONGOANA,LES,7,58.0,20,Distance,False,False
Marathon Men,Conner MANTZ,USA,8,82.0,26,Distance,False,False
Marathon Men,Clayton YOUNG,USA,9,,32,Distance,False,True
Marathon Men,Samsom AMARE,ERI,10,,32,Distance,False,True
Marathon Men,Elroy GELANT,RSA,11,,32,Distance,False,True
Marathon Men,Richard RINGER,GER,12,,32,Distance,False,True
Marathon Men,Suguru OSAKO,JPN,13,99.0,31,Distance,False,False
Marathon Men,Ibrahim HASSAN,DJI,14,,32,Distance,False,True
Marathon Men,Samuel FITWI SIBHATU,GER,15,,32,Distance,False,True
Marathon Men,Nicolas NAVARRO,FRA,16,,32,Distance,False,True
Marathon Men,Alphonce Felix SIMBU,TAN,17,25.0,10,Distance,False,False
Marathon Men,Othmane EL GOUMRI,MAR,18,17.0,8,Distance,False,False
Marathon Men,Isaac MPOFU,ZIM,19,,32,Distance,False,True
Marathon Men,Hassan CHAHDI,FRA,20,45.0,17,Distance,False,False
Marathon Men,Alexander MUNYAO,KEN,21,3.0,2,Distance,False,False
Marathon Men,Michael SOMERS,BEL,22,,32,Distance,False,True
Marathon Men,Naoki KOYAMA,JPN,23,84.0,28,Distance,False,False
Marathon Men,Patrick TIERNAN,AUS,24,,32,Distance,False,True
Marathon Men,Yemaneberhan CRIPPA,ITA,25,,32,Distance,False,True
Marathon Men,Maru TEFERI,ISR,26,27.0,11,Distance,False,False
Marathon Men,Stephen MOKOKA,RSA,27,,32,Distance,False,True
Marathon Men,Suldan HASSAN,SWE,28,,32,Distance,False,True
Marathon Men,Il Ryong HAN,PRK,29,,32,Distance,False,True
Marathon Men,Matthias KYBURZ,SUI,30,,32,Distance,False,True
Marathon Men,Gashau AYALE,ISR,31,55.0,19,Distance,False,False
Marathon Men,Sondre Nordstad MOEN,NOR,32,,32,Distance,False,True
Marathon Men,Yaseen ABDALLA,SUD,33,,32,Distance,False,True
Marathon Men,Ibrahim CHAKIR,ESP,34,,32,Distance,False,True
Marathon Men,Zouhair TALBI,MAR,35,60.0,21,Distance,False,False
Marathon Men,Cameron LEVINS,CAN,36,79.0,25,Distance,False,False
Marathon Men,Victor KIPLANGAT,UGA,37,6.0,4,Distance,False,False
Marathon Men,Tadesse ABRAHAM,SUI,38,44.0,16,Distance,False,False
Marathon Men,Kenenisa BEKELE,ETH,39,7.0,5,Distance,False,False
Marathon Men,Xiangdong WU,CHN,40,,32,Distance,False,True
Marathon Men,Yago ROJO,ESP,41,,32,Distance,False,True
Marathon Men,Tachlowini GABRIYESOS,EOR,42,,32,Distance,False,True
Marathon Men,Eyob FANIEL,ITA,43,,32,Distance,False,True
Marathon Men,Girmaw AMARE,ISR,44,,32,Distance,False,True
Marathon Men,Andrew BUCHANAN,AUS,45,,32,Distance,False,True
Marathon Men,Philip SESEMANN,GBR,46,,32,Distance,False,True
Marathon Men,Rory LINKLETTER,CAN,47,,32,Distance,False,True
Marathon Men,Samuel BARATA,POR,48,,32,Distance,False,True
Marathon Men,Liam ADAMS,AUS,49,,32,Distance,False,True
Marathon Men,Felix BOUR,FRA,50,,32,Distance,False,True
Marathon Men,Daniele MEUCCI,ITA,51,,32,Distance,False,True
Marathon Men,Zerei Kbrom MEZNGI,NOR,52,,32,Distance,False,True
Marathon Men,Carlos DÍAZ,CHI,53,,32,Distance,False,True
Marathon Men,Henok TESFAY,ERI,54,92.0,29,Distance,False,False
Marathon Men,Shaohui YANG,CHN,55,71.0,22,Distance,False,False
Marathon Men,Samuel FREIRE,CPV,56,,32,Distance,False,True
Marathon Men,Mahamed MAHAMED,GBR,57,83.0,27,Distance,False,False
Marathon Men,Khalid CHOUKOUD,NED,58,,32,Distance,False,True
Marathon Men,Hugo CATRILEO,CHI,59,,32,Distance,False,True
Marathon Men,Héctor GARIBAY,BOL,60,,32,Distance,False,True
Marathon Men,Koen NAERT,BEL,61,98.0,30,Distance,False,False
Marathon Men,Andrew Rotich KWEMOI,UGA,62,,32,Distance,False,True
Marathon Men,Leonard KORIR,USA,63,,32,Distance,False,True
Marathon Men,Berhane TESFAY,ERI,64,,32,Distance,False,True
Marathon Men,Moath ALKHAWALDEH,JOR,65,,32,Distance,False,True
Marathon Men,Alberto GONZALEZ MINDEZ,GUA,66,,32,Distance,False,True
Marathon Men,Jie HE,CHN,67,73.0,23,Distance,False,False
Marathon Men,Tariku NOVALES,ESP,68,,32,Distance,False,True
Marathon Men,Dario IVANOVSKI,MKD,69,,32,Distance,False,True
Marathon Men,Valentin BETOUDJI,CHA,70,,32,Distance,False,True
Marathon Men,Ser-Od BAT-OCHIR,MGL,71,,32,Distance,False,True
Marathon Men,Abdi NAGEEYE,NED,,36.0,13,Distance,False,False
Marathon Men,Mohcin OUTALHA,MAR,,,32,Distance,False,True
Marathon Men,Gabriel Gerald GEAY,TAN,,19.0,9,Distance,False,False
Marathon Men,Eliud KIPCHOGE,KEN,,13.0,7,Distance,False,False
Marathon Men,Shokhrukh DAVLYATOV,UZB,,,32,Distance,False,True
Marathon Men,Amanal PETROS,GER,,50.0,18,Distance,False,False
Marathon Men,Stephen KISSA,UGA,,37.0,14,Distance,False,False
Marathon Men,Kaan Kigen ÖZBILEN,TUR,,76.0,24,Distance,False,False
Marathon Men,Christian PACHECO,PER,,,32,Distance,False,True
Marathon Men,Eduardo Terrance GARCIA,ISV,,,32,Distance,False,True
Marathon Women,Sifan HASSAN,NED,1,2.0,2,Distance,True,False
Marathon Women,Tigst ASSEFA,ETH,2,1.0,1,Distance,True,False
Marathon Women,Hellen OBIRI,KEN,3,11.0,6,Distance,True,False
Marathon Women,Sharon LOKEDI,KEN,4,40.0,10,Distance,False,False
Marathon Women,Amane Beriso SHANKULE,ETH,5,3.0,3,Distance,False,False
Marathon Women,Yuka SUZUKI,JPN,6,78.0,19,Distance,False,False
Marathon Women,Delvine Relin MERINGOR,ROU,7,55.0,14,Distance,False,False
Marathon Women,Stella CHESANG,UGA,8,52.0,13,Distance,False,False
Marathon Women,Lonah Chemtai SALPETER,ISR,9,20.0,9,Distance,False,False
Marathon Women,Eunice Chebichii CHUMBA,BRN,10,18.0,8,Distance,False,False
Marathon Women,Fatima Ezzahra GARDADI,MAR,11,13.0,7,Distance,False,False
Marathon Women,Dakotah LINDWURM,USA,12,,23,Distance,False,True
Marathon Women,Jessica STENSON,AUS,13,,23,Distance,False,True
Marathon Women,Sardana TROFIMOVA,KGZ,14,,23,Distance,False,True
Marathon Women,Peres JEPCHIRCHIR,KEN,15,4.0,4,Distance,False,False
Marathon Women,Fabienne SCHLUMPF,SUI,16,,23,Distance,False,True
Marathon Women,Majida MAAYOUF,ESP,17,,23,Distance,False,True
